filename,brightness,colorfulness,contrast,energy,overexposed,psnr,saturation,sharpness,signalnoise,skewness,spectralcentroid,underexposed
Town01_011640.png,0.4718061629256966,0.10152598924751094,0.14074621552126237,0.24241055255822663,0.0,0.3406252917575381,0.20395250618457794,0.007771055666848783,0.7702299093045564,-1.8270898558664312,0.3308079939429767,0.030263158
Town03_013940.png,0.41397534507223943,0.11133036161171624,0.16258426074236706,0.19780922816882165,0.0,0.31556859608620746,0.20307546854019165,0.00675455619296222,0.7180096227157413,-0.7149623306322188,0.30956843908019543,0.02462171
Town02_009960.png,0.4116547020123839,0.11423345008973172,0.18248699233733598,0.20276109606123147,0.0,0.29550723439146437,0.2608029842376709,0.01308085592079969,0.6928561080631845,-0.8008449071490809,0.34134578526160997,0.045612663
Town04_002760.png,0.44678921568627455,0.10090067200692288,0.13335658016949795,0.21740458072806,0.0,0.34999423104765,0.17904257774353027,0.006224111804164389,0.7701326439796309,-0.8474001100064451,0.3236134531676301,0.016739309
Town01_001260.png,0.36487287151702785,0.10298411659810215,0.20328741518578197,0.17445798554199798,0.0,0.2767557771540632,0.26566314697265625,0.010068089702341203,0.6422005902758551,-0.5570333469592824,0.32578898594026406,0.14849506
Town02_004740.png,0.4391477360681114,0.11185035203622062,0.15937120400422966,0.21824991475950548,0.0,0.3190360476460814,0.23145104944705963,0.008853658511908377,0.7337240421936514,-1.0515103384147906,0.3251135120431265,0.029099505
Town03_016520.png,0.3284000580495356,0.0878264951649013,0.17706100840787112,0.13919719882535056,0.0,0.3007508348749786,0.24826353788375854,0.007042224650438092,0.6497039630088504,-0.17919506043079927,0.3303227785372992,0.09170642
Town03_015060.png,0.20990433114035087,0.12036710972028322,0.15011624300926438,0.06659471464669457,0.0,0.32942891829618337,0.41116079688072205,0.012585705017301036,0.5830342657868657,0.7890943257948535,0.3325965502813468,0.15042353
Town01_011580.png,0.4625501644736842,0.10711051489102898,0.1461441190849828,0.23531075819775807,0.0,0.33408745889889685,0.20786117017269135,0.008539698167708778,0.7599055501879092,-1.4711186941523013,0.32388538780192544,0.03000411
Town01_010560.png,0.37733512319401447,0.09388538293009213,0.19897783150027898,0.18197397262439544,0.0,0.28047812424010593,0.2825603485107422,0.008718707759161455,0.6547399639289676,-0.6294470843509992,0.3330226488703774,0.10854852
Town02_009900.png,0.3669563983488132,0.09570687413996773,0.20642788223478878,0.17726946885307263,0.0,0.2740926796840115,0.27074986696243286,0.01114543368947166,0.639983359763927,-0.5877175813921438,0.33896462279260525,0.14793587
Town02_010200.png,0.33346462203302374,0.134211401783755,0.20889042395404575,0.15483386336732827,0.0,0.27203257475133547,0.3450506925582886,0.013338707278577068,0.6148456153883787,-0.15347046345362897,0.3322276530226761,0.142463
Town03_018640.png,0.231937596749226,0.11276925376879784,0.13619674088601955,0.07234460101378014,0.0,0.34633330536036205,0.39460769295692444,0.01162980432627128,0.6300352154444416,0.6545090335980214,0.32341768993833503,0.1150658
Town03_018740.png,0.24604323077915374,0.1040104154304459,0.16295911579042588,0.08709294483144134,0.0,0.31516852770169607,0.3872665464878082,0.010316763289423096,0.6015692399302796,0.5771496521576498,0.32634952485760615,0.14442846
Town03_019680.png,0.37944143446852424,0.09590654232909229,0.16728042004764368,0.17195854112284747,0.0,0.3106219418157957,0.21450532972812653,0.007971026452376618,0.6940301202649041,-0.5796683756876371,0.3330969804997901,0.057853617
Town01_006780.png,0.34873710010319914,0.09981812905176045,0.19349330369398052,0.15905722356279978,0.0,0.28533361389865697,0.30207690596580505,0.014963618117525649,0.6431529800538849,-0.3459582810625958,0.35399464082477045,0.0948273
Town03_015540.png,0.38456998194014447,0.09305380525491859,0.1754797373972295,0.17868720924644357,0.0,0.30230920551488333,0.21808892488479614,0.007391939840951861,0.6866711447837567,-0.586937097753885,0.3199201955870023,0.055275492
Town02_002040.png,0.3286886771155831,0.10834888251449806,0.2162685914009711,0.15480835009055222,0.0,0.2660026121967734,0.3291899561882019,0.013637826291507312,0.6031457805612253,-0.13174645078792097,0.32787502817677355,0.1581949
Town02_005820.png,0.3806833720330237,0.15390305807938515,0.1796984541789386,0.17721136417673355,9.8684206e-05,0.2981822612269972,0.2976503372192383,0.012494142308626235,0.6793285474293581,-0.5782187399650314,0.3322325465636087,0.06584293
Town01_008580.png,0.44879458526831784,0.1007929354459861,0.17011925715405757,0.23035714142080985,0.0,0.30769861301808343,0.21410056948661804,0.008536323579999594,0.7251325701220996,-1.2368337249075612,0.316286735676327,0.03175987
Town03_019580.png,0.38712490325077403,0.09521052335133913,0.15729401694745887,0.17460709848438863,0.0,0.3213151130516612,0.18926413357257843,0.009242010537445111,0.7110790769026346,-0.6345753408322405,0.32313015637904585,0.049543586
Town02_008880.png,0.3903917376160991,0.12425845206396109,0.19598760902858095,0.1908168516916569,0.0,0.2831085343818918,0.2740417718887329,0.01291075699629697,0.6657665209797211,-0.692506018813379,0.3255531779413599,0.10227385
Town04_003420.png,0.39120651122291017,0.10215906614852363,0.16968958906610468,0.1818370910606243,0.0,0.30813790892436316,0.2054109275341034,0.008752922458973267,0.6974669836249177,-0.6097794771819641,0.32754328830691154,0.063770555
Town03_013060.png,0.38077760577915376,0.09165818015354549,0.16384836089044305,0.1718378704293895,0.0,0.31422313368320454,0.1818305104970932,0.009005312986907871,0.6991543353692843,-0.5623331440449488,0.32584221215627424,0.03971628
Town03_019440.png,0.38704229553663566,0.09566824277900533,0.15740046382672856,0.17457664454713775,0.0,0.3211975798082964,0.19004850089550018,0.00930230376980514,0.7108962124160478,-0.6305027010885519,0.3232260547628576,0.04960526
Town04_002160.png,0.43858621968524253,0.08970269925501638,0.1294557383129896,0.20911666027995313,0.0,0.35515145731052955,0.15598702430725098,0.007372333262510369,0.7721018024804586,-1.090275408871326,0.33658289757314275,0.023120888
